symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
COOKIE/USDT,2026-08-09 12:05,15m,3,0.013619,0.013352,1.960496365371906,1.9244894961069494,5.279389088773032,0.22762317350761083,16.54
COOKIE/USDT,2026-08-09 12:05,30m,6,0.013619,0.013346,2.0045524634701444,1.9685617746437427,5.279389088773032,0.22762317350761083,16.54
COOKIE/USDT,2026-08-09 12:05,1h,12,0.013619,0.013535,0.6167853733754242,0.5802850007345323,5.279389088773032,1.3583963580292324,16.54
COOKIE/USDT,2026-08-09 12:05,2h,24,0.013619,0.012791,6.079741537557816,6.045247539297775,8.076951318011591,4.48637932300463,16.54
COOKIE/USDT,2026-08-09 12:05,4h,48,0.013619,0.012436,8.68639400837066,8.652857352725137,10.698289154857186,4.48637932300463,16.54
COOKIE/USDT,2026-08-09 12:05,8h,96,0.013619,0.015146,-11.212276966003383,-11.25312178639636,10.698289154857186,23.34973199206992,16.54
COOKIE/USDT,2026-08-09 12:35,15m,3,0.013346,0.013122,1.6784055147609789,1.6784055147609789,1.8282631500074884,3.4317398471452125,16.54
COOKIE/USDT,2026-08-09 12:35,30m,6,0.013346,0.013535,-1.4161546530795739,-1.4161546530795739,1.8282631500074884,3.4317398471452125,16.54
COOKIE/USDT,2026-08-09 12:35,1h,12,0.013346,0.013629,-2.1204855387382007,-2.1204855387382007,1.8282631500074884,6.623707477895994,16.54
COOKIE/USDT,2026-08-09 12:35,2h,24,0.013346,0.012752,4.450771766821526,4.450771766821526,6.40641390678855,6.623707477895994,16.54
COOKIE/USDT,2026-08-09 12:35,4h,48,0.013346,0.012827,3.888805634647088,3.888805634647088,8.871572006593743,6.623707477895994,16.54
COOKIE/USDT,2026-08-09 12:35,8h,96,0.013346,0.015063,-12.865277985913382,-12.865277985913382,8.871572006593743,25.872920725310962,16.54
COOKIE/USDT,2026-08-09 20:05,15m,3,0.015139,0.014894,1.6183367461523248,1.6638056252475935,3.223462580091148,2.0410859369839502,31.27
COOKIE/USDT,2026-08-09 20:05,30m,6,0.015139,0.015063,0.5020146641125549,0.5479994718077363,3.2961225972653376,2.0410859369839502,31.27
COOKIE/USDT,2026-08-09 20:05,1h,12,0.015139,0.015424,-1.8825549904220922,-1.835468110392186,3.2961225972653376,3.6792390514565163,31.27
COOKIE/USDT,2026-08-09 20:05,2h,24,0.015139,0.015819,-4.491710152586037,-4.443417403935032,3.2961225972653376,7.774621837637895,31.27
COOKIE/USDT,2026-08-09 20:35,15m,3,0.015067,0.01555,-3.205681290236935,-3.2330876983336623,1.5331519214176696,3.723368952014329,31.27
COOKIE/USDT,2026-08-09 20:35,30m,6,0.015067,0.015424,-2.3694166058273023,-2.3966009427072974,1.5331519214176696,4.1746864007433535,31.27
COOKIE/USDT,2026-08-09 20:35,1h,12,0.015067,0.015648,-3.856109378111092,-3.8836885082652777,1.5331519214176696,5.462268533881999,31.27
COOKIE/USDT,2026-08-09 20:35,2h,24,0.015067,0.015573,-3.358332780248221,-3.3857797251543515,1.5331519214176696,8.289639609743148,31.27
US/USDT,2026-08-09 01:25,15m,3,0.050875,0.05005,1.6216216216216204,1.6158200974996133,2.3764127764127663,0.0,7.67
US/USDT,2026-08-09 01:25,30m,6,0.050875,0.051058,-0.35970515970516487,-0.36562352571158724,2.429484029484018,0.711547911547914,7.67
US/USDT,2026-08-09 01:25,1h,12,0.050875,0.050739,0.2673218673218619,0.26144047806259074,2.429484029484018,0.711547911547914,7.67
US/USDT,2026-08-09 01:25,2h,24,0.050875,0.05031,1.1105651105651029,1.104733448655449,2.429484029484018,0.711547911547914,7.67
US/USDT,2026-08-09 01:25,4h,48,0.050875,0.050104,1.5154791154791036,1.5096713319704314,3.795577395577386,0.811793611793619,7.67
US/USDT,2026-08-09 01:25,8h,96,0.050875,0.048264,5.132186732186724,5.126592231482936,18.427518427518418,1.9420147420147476,7.67
US/USDT,2026-08-09 01:25,12h,144,0.050875,0.048109,5.436855036855032,5.431278502909265,18.427518427518418,1.9420147420147476,7.67
US/USDT,2026-08-09 06:25,15m,3,0.049095,0.048565,1.079539667990636,1.079539667990636,2.7986556675832572,3.356757307261439,6.21
US/USDT,2026-08-09 06:25,30m,6,0.049095,0.046246,5.803034932274157,5.803034932274157,7.082187595478157,3.356757307261439,6.21
US/USDT,2026-08-09 06:25,1h,12,0.049095,0.050903,-3.6826560749567103,-3.6826560749567103,7.536409002953462,5.483246766473164,6.21
US/USDT,2026-08-09 06:25,2h,24,0.049095,0.049359,-0.5377329666972204,-0.5377329666972204,7.536409002953462,5.638048681128423,6.21
US/USDT,2026-08-09 06:25,4h,48,0.049095,0.048169,1.8861391180364666,1.8861391180364666,7.536409002953462,5.638048681128423,6.21
US/USDT,2026-08-09 06:25,8h,96,0.049095,0.047688,2.8658722884204066,2.8658722884204066,7.536409002953462,5.638048681128423,6.21
US/USDT,2026-08-09 06:25,12h,144,0.049095,0.046193,5.91098889907323,5.91098889907323,27.029229045727664,8.129137386699261,6.21
US/USDT,2026-08-09 18:05,15m,3,0.044981,0.04543,-0.9981992396789711,-0.9353684818591788,1.6918254374069002,2.78339743447234,6.06
US/USDT,2026-08-09 18:05,30m,6,0.044981,0.046245,-2.8100753651541788,-2.7461174431780333,1.6918254374069002,4.31737844867833,6.06
US/USDT,2026-08-09 18:05,1h,12,0.044981,0.043698,2.8523154220670937,2.9127507831766972,4.890953958337966,4.31737844867833,6.06
US/USDT,2026-08-09 18:05,2h,24,0.044981,0.044975,0.013338965340919636,0.0755404474660608,4.890953958337966,7.460927947355546,6.06
US/USDT,2026-08-09 18:05,4h,48,0.044981,0.044958,0.05113270047353813,0.11331067119909892,4.890953958337966,7.460927947355546,6.06
MMT/USDT,2026-08-09 04:50,15m,3,0.22,0.2213,-0.5909090909090889,-0.6366530241018574,1.5909090909090924,0.90909090909091,8.44
MMT/USDT,2026-08-09 04:50,30m,6,0.22,0.2227,-1.2272727272727308,-1.2733060482037275,1.5909090909090924,1.9545454545454537,8.44
MMT/USDT,2026-08-09 04:50,1h,12,0.22,0.2263,-2.8636363636363638,-2.9104138244656608,1.5909090909090924,5.2727272727272725,8.44
MMT/USDT,2026-08-09 04:50,2h,24,0.22,0.2323,-5.5909090909090935,-5.6389267849022255,1.5909090909090924,9.000000000000005,8.44
MMT/USDT,2026-08-09 04:50,4h,48,0.22,0.23,-4.545454545454549,-4.592996816734878,1.5909090909090924,9.000000000000005,8.44
MMT/USDT,2026-08-09 04:50,8h,96,0.22,0.2203,-0.13636363636363397,-0.18190086402909672,4.045454545454541,9.000000000000005,8.44
MMT/USDT,2026-08-09 04:50,12h,144,0.22,0.2151,2.2272727272727217,2.182810368349249,4.045454545454541,9.000000000000005,8.44
MMT/USDT,2026-08-09 05:20,15m,3,0.2226,0.2233,-0.31446540880503426,-0.26942074539739086,0.5840071877807708,0.7637017070979367,8.44
MMT/USDT,2026-08-09 05:20,30m,6,0.2226,0.2263,-1.6621743036837415,-1.61652447238437,0.5840071877807708,4.043126684636123,8.44
MMT/USDT,2026-08-09 05:20,1h,12,0.2226,0.2372,-6.55884995507637,-6.51100134710372,0.5840071877807708,7.726864330637925,8.44
MMT/USDT,2026-08-09 05:20,2h,24,0.2226,0.2283,-2.5606469002695467,-2.5145936237090227,0.5840071877807708,7.726864330637925,8.44
MMT/USDT,2026-08-09 05:20,4h,48,0.2226,0.2119,4.806828391734046,4.849573417153122,5.166217430368366,7.726864330637925,8.44
MMT/USDT,2026-08-09 05:20,8h,96,0.2226,0.2218,0.3593890386343195,0.4041311180960987,5.166217430368366,7.726864330637925,8.44
MMT/USDT,2026-08-09 05:20,12h,144,0.2226,0.2203,1.0332434860736732,1.0776829815895883,5.166217430368366,7.726864330637925,8.44
MMT/USDT,2026-08-09 07:00,15m,3,0.2275,0.2309,-1.4945054945054885,-1.4499121265377846,0.3956043956044008,1.9340659340659285,14.87
MMT/USDT,2026-08-09 07:00,30m,6,0.2275,0.2298,-1.0109890109890094,-0.966608084358527,0.3956043956044008,2.2417582417582387,14.87
MMT/USDT,2026-08-09 07:00,1h,12,0.2275,0.2271,0.17582417582418086,0.2196836555360283,1.9780219780219797,2.2417582417582387,14.87
